timestamp;value
0-0-8-704000;52 
0-0-8-706000;28 
0-0-8-708000;9 
0-0-8-709000;10 
0-0-8-711000;52 
0-0-8-713000;57 
0-0-8-715000;116 
0-0-8-717000;120 
0-0-8-719000;124 
0-0-8-721000;106 
0-0-8-723000;65 
0-0-8-725000;5 
0-0-8-728000;3 
0-0-8-730000;6 
0-0-8-732000;23 
0-0-8-734000;55 
0-0-8-736000;110 
0-0-8-738000;111 
0-0-8-740000;122 
0-0-8-742000;91 
0-0-8-744000;22 
0-0-8-746000;9 
0-0-8-748000;-15 
0-0-8-749000;4 
0-0-8-751000;33 
0-0-8-753000;59 
0-0-8-755000;63 
0-0-8-757000;119 
0-0-8-759000;105 
0-0-8-762000;69 
0-0-8-764000;19 
0-0-8-766000;-6 
0-0-8-768000;-15 
0-0-8-770000;9 
0-0-8-772000;13 
0-0-8-774000;54 
0-0-8-776000;93 
0-0-8-778000;108 
0-0-8-780000;136 
0-0-8-782000;67 
0-0-8-784000;1 
0-0-8-786000;-5 
0-0-8-788000;-49 
0-0-8-790000;-30 
0-0-8-791000;27 
0-0-8-802000;36 
0-0-8-804000;11 
0-0-8-806000;-44 
0-0-8-808000;-12 
0-0-8-810000;-29 
0-0-8-812000;-6 
0-0-8-814000;31 
0-0-8-816000;85 
0-0-8-818000;114 
0-0-8-820000;60 
0-0-8-822000;38 
0-0-8-824000;6 
0-0-8-826000;-10 
0-0-8-828000;-59 
0-0-8-831000;-36 
0-0-8-833000;3 
0-0-8-834000;31 
0-0-8-836000;55 
0-0-8-838000;101 
0-0-8-840000;68 
0-0-8-842000;33 
0-0-8-844000;-16 
0-0-8-846000;-51 
0-0-8-848000;-51 
0-0-8-850000;-36 
0-0-8-852000;-12 
0-0-8-854000;42 
0-0-8-856000;49 
0-0-8-858000;90 
0-0-8-860000;57 
0-0-8-862000;21 
0-0-8-865000;-1 
0-0-8-867000;-55 
0-0-8-869000;-55 
0-0-8-871000;-19 
0-0-8-873000;3 
0-0-8-874000;24 
0-0-8-876000;70 
0-0-8-878000;62 
0-0-8-880000;69 
0-0-8-882000;16 
0-0-8-884000;-31 
0-0-8-886000;-41 
0-0-8-888000;-48 
0-0-8-890000;-15 
0-0-8-892000;-1 
0-0-8-894000;14 
0-0-8-896000;86 
0-0-8-898000;98 
0-0-8-901000;65 
0-0-8-903000;45 
0-0-8-905000;-17 
0-0-8-907000;-32 
0-0-8-909000;-16 
0-0-8-911000;-11 
0-0-8-913000;23 
0-0-8-915000;34 
0-0-8-916000;100 
0-0-8-918000;89 
0-0-8-920000;79 
0-0-8-922000;46 
0-0-8-924000;-16 
0-0-8-926000;-9 
0-0-8-928000;-14 
0-0-8-930000;27 
0-0-8-932000;8 
0-0-8-935000;66 
0-0-8-937000;112 
0-0-8-939000;119 
0-0-8-941000;81 
0-0-8-943000;36 
0-0-8-945000;0 
0-0-8-947000;-18 
0-0-8-949000;-9 
0-0-8-951000;1 
0-0-8-953000;20 
0-0-8-955000;71 
0-0-8-957000;108 
0-0-8-958000;117 
0-0-8-960000;79 
0-0-8-962000;46 
0-0-8-964000;7 
0-0-8-966000;-7 
0-0-8-969000;-2 
0-0-8-971000;-8 
0-0-8-973000;23 
0-0-8-975000;56 
0-0-8-977000;120 
0-0-8-979000;85 
0-0-8-981000;93 
0-0-8-983000;27 
0-0-8-985000;20 
0-0-8-987000;-42 
0-0-8-989000;-14 
0-0-8-991000;-3 
0-0-8-993000;36 
0-0-8-995000;92 
0-0-8-997000;104 
0-0-8-999000;118 
0-0-9-000000;72 
0-0-9-011000;3 
0-0-9-013000;14 
0-0-9-017000;78 
0-0-9-019000;105 
0-0-9-021000;79 
0-0-9-023000;27 
0-0-9-025000;-26 
0-0-9-027000;-34 
0-0-9-029000;-23 
0-0-9-031000;-8 
0-0-9-033000;18 
0-0-9-035000;62 
0-0-9-038000;99 
0-0-9-040000;114 
0-0-9-041000;75 
0-0-9-043000;46 
0-0-9-045000;-22 
0-0-9-047000;-39 
0-0-9-049000;-5 
0-0-9-051000;-3 
0-0-9-053000;20 
0-0-9-055000;66 
0-0-9-057000;85 
0-0-9-059000;128 
0-0-9-061000;69 
0-0-9-063000;16 
0-0-9-065000;-33 
0-0-9-067000;-28 
0-0-9-069000;-29 
0-0-9-071000;-10 
0-0-9-074000;28 
0-0-9-076000;86 
0-0-9-078000;111 
0-0-9-080000;105 
0-0-9-082000;76 
0-0-9-083000;12 
0-0-9-085000;-11 
0-0-9-087000;-10 
0-0-9-089000;-43 
0-0-9-091000;11 
0-0-9-093000;33 
0-0-9-095000;100 
0-0-9-097000;104 
0-0-9-099000;98 
0-0-9-101000;83 
0-0-9-103000;5 
0-0-9-105000;-12 
0-0-9-108000;-15 
0-0-9-110000;-32 
0-0-9-112000;18 
0-0-9-114000;18 
0-0-9-116000;105 
0-0-9-118000;97 
0-0-9-120000;105 
0-0-9-122000;77 
0-0-9-124000;-2 
0-0-9-125000;-1 
0-0-9-127000;-45 
0-0-9-129000;-23 
0-0-9-131000;14 
0-0-9-133000;36 
0-0-9-135000;81 
0-0-9-137000;106 
0-0-9-139000;100 
0-0-9-142000;71 
0-0-9-144000;-10 
0-0-9-146000;6 
0-0-9-148000;-48 
0-0-9-150000;-29 
